lat,lon,pixel_count,mean_tb,min_tb,median_tb,std_tb,max_radius,min_radius,mean_radius,max_cloud_top_height,mean_cloud_top_height,target
0,0,1616,180.08904,180.08902,180.08902,1.5258789e-05,1615.0,0.0,807.5,6.991098022460938,6.991096496582031,1
1,47,99,225.91489,217.98715,226.74287,3.0468087,13.45362404707371,0.0,5.6144272111721225,3.201284790039063,2.4085113525390627,1
13,38,5,228.32454,227.14478,229.11105,0.96327555,1.4142135623730951,0.0,0.9656854249492379,2.2855224609375,2.167546081542969,1
18,1089,9,225.11987,221.22238,224.68715,2.866469,4.0,0.0,1.9791732444490293,2.8777618408203125,2.4880126953125004,1
18,1099,15,226.3532,219.86101,227.54373,2.682077,4.123105625617661,0.0,1.8628158356852282,3.0138992309570316,2.3646804809570314,1
18,1153,5,226.96567,225.10466,226.74287,1.4238778,2.0,0.0,1.082842712474619,2.4895339965820313,2.3034332275390628,1
31,1535,3,228.72063,227.93977,229.11105,0.5521467,1.0,0.0,0.6666666666666666,2.2060226440429687,2.1279373168945312,0
35,1540,6,226.43231,222.98343,226.74136,2.103829,2.23606797749979,0.0,1.2750469233121475,2.7016571044921878,2.356768798828125,1
38,18,2,227.73888,227.14478,227.73888,0.59410095,1.0,0.0,0.5,2.2855224609375,2.2261123657226562,0
39,1543,3,228.97823,228.33298,228.72339,0.656117,1.0,0.0,0.6666666666666666,2.1667022705078125,2.102177429199219,0
55,1096,1,220.31883,220.31883,220.31883,0.0,0.0,0.0,0.0,2.9681167602539062,2.9681167602539062,0
56,1503,4,228.91177,227.93977,228.91449,0.7992738,2.0,0.0,1.0,2.2060226440429687,2.1088226318359378,0
59,1502,9,227.27324,222.98343,228.33298,2.321387,2.23606797749979,0.0,1.229388344693998,2.7016571044921878,2.2726760864257813,1
60,1090,6,225.8455,223.84216,225.72446,1.3183634,1.4142135623730951,0.0,0.9714045207910317,2.61578369140625,2.4154495239257816,1
115,1186,64,226.86441,218.93277,227.93977,2.582252,9.848857801796104,0.0,4.349823471472478,3.1067230224609377,2.3135589599609374,1
123,761,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
128,752,7,225.12563,221.22238,225.93001,2.0297508,3.1622776601683795,0.0,1.4017941714344662,2.8777618408203125,2.487437438964844,1
131,750,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
132,1318,2,228.52818,228.33298,228.52818,0.19520569,1.0,0.0,0.5,2.1667022705078125,2.1471817016601564,0
134,778,2,229.30353,229.11105,229.30353,0.192482,1.0,0.0,0.5,2.0888946533203128,2.069647216796875,0
136,763,2,226.93489,225.93001,226.93489,1.0048828,1.0,0.0,0.5,2.406999206542969,2.3065109252929688,0
136,766,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
156,1429,542,220.48415,207.9454,219.86101,5.1739645,46.010868281309364,0.0,21.386000872648335,4.2054595947265625,2.951585388183594,1
158,949,6,228.18391,225.93001,228.52818,1.4178969,2.23606797749979,0.0,1.2750469233121475,2.406999206542969,2.1816085815429687,1
160,655,1,225.10466,225.10466,225.10466,0.0,0.0,0.0,0.0,2.4895339965820313,2.4895339965820313,0
167,745,398,222.13838,212.96646,221.66829,3.5933902,25.298221281347036,0.0,10.242237196194,3.7033538818359375,2.786161804199219,1
163,958,2,229.30086,228.72339,229.30086,0.5774689,1.0,0.0,0.5,2.1276611328125,2.0699142456054687,0
163,1609,1,225.51892,225.51892,225.51892,0.0,0.0,0.0,0.0,2.44810791015625,2.44810791015625,0
167,1428,5,229.2629,228.33298,229.49602,0.52445227,3.0,0.0,1.4,2.1667022705078125,2.073710632324219,1
166,957,3,226.59576,225.10466,226.74287,1.162095,1.0,0.0,0.6666666666666666,2.4895339965820313,2.340423583984375,0
